Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training_Time
Decision Tree,0.6770025839793282,0.38666666666666666,0.26851851851851855,0.31693989071038253,0.7100092924465684,0.03621244430541992
Random Forest,0.7054263565891473,0.4785714285714286,0.6203703703703703,0.5403225806451613,0.7374220098234434,0.5846221446990967
XGBoost,0.27906976744186046,0.27906976744186046,1.0,0.43636363636363634,0.7653823178016727,0.2810695171356201
Neural Network,0.7080103359173127,0.4444444444444444,0.18518518518518517,0.26143790849673204,0.7205628567635736,1.005899429321289
